context,question,answer_text,answer_start,all_answers
any of several plant glycoproteins that act like specific antibodies but are not antibodies in that they are not evoked by an antigenic stimulus,hypernym,glycoproteins,21,['glycoproteins']
a car with two doors and front seats and a luggage compartment,hypernym,car,2,['car']
a stairway whose steps move continuously on a circulating belt,hypernym,stairway,2,['stairway']
Swedish poet whose works incorporate Swedish customs and folklore (1864-1931),hypernym,poet,8,['poet']
a motor vehicle propelled by half tracks; frequently used by the military,hypernym,vehicle,8,['vehicle']
can opener that has a triangular pointed end that pierces the tops of cans,hypernym,can opener,0,"['can opener', 'opener']"
one of the highest earned academic degrees conferred by a university,hypernym,academic degrees,26,"['academic degrees', 'degrees']"
a cut of pork ribs with much of the meat trimmed off,hypernym,ribs,14,"['ribs', 'cut', 'meat']"
any of a class of organic compounds that contain the divalent radical -CONHCO-,hypernym,organic compounds,18,"['organic compounds', 'compounds']"
a light hammer that is used to drive tacks,hypernym,hammer,8,['hammer']
a person suffering from claustrophobia,hypernym,person,2,['person']
especially fine or decorative clothing,hypernym,clothing,30,['clothing']
a holding device consisting of adjustable jaws that center a workpiece in a lathe or center a tool in a drill,hypernym,holding device,2,"['holding device', 'drill', 'lathe', 'device', 'tool']"
any informal meal eaten outside or on an excursion,hypernym,meal,13,['meal']
genus of large predaceous ground beetles that feed on injurious caterpillars,hypernym,genus,0,['genus']
any of several malignant neoplasms (usually of the skin) consisting of melanocytes,hypernym,malignant neoplasms,15,"['malignant neoplasms', 'neoplasms']"
the subject of a dispute,hypernym,subject,4,['subject']
the basic unit of money in Nicaragua; equal to 100 centavos,hypernym,unit,10,['unit']
a violent kind of alcoholic fermentation at a temperature high enough to carry the yeast cells to the top of the fermenting liquid; used in the production of ale,hypernym,fermentation,28,"['fermentation', 'fermenting']"
a conventional expression of greeting or farewell,hypernym,farewell,41,"['farewell', 'greeting']"
active beetle typically having predatory or scavenging habits,hypernym,beetle,7,['beetle']
any of several plants of the genus Mirabilis having flowers that open in late afternoon,hypernym,flowers,52,"['flowers', 'plants']"
"a war between the Allies (Australia, Belgium, Bolivia, Brazil, Canada, China, Colombia, Costa Rica, Cuba, Czechoslovakia, Dominican Republic, El Salvador, Ethiopia, France, Greece, Guatemala, Haiti, Honduras, India, Iran, Iraq, Luxembourg, Mexico, Netherlands, New Zealand, Nicaragua, Norway, Panama, Philippines, Poland, South Africa, United Kingdom, United States, USSR, Yugoslavia) and the Axis (Albania, Bulgaria, Finland, Germany, Hungary, Italy, Japan, Rumania, Slovakia, Thailand) from 1939 to 1945",hypernym,war,2,['war']
English poet remembered as author of the Canterbury Tales (1340-1400),hypernym,poet,8,"['poet', 'author']"
an explosive with a low rate of combustion,hypernym,explosive,3,['explosive']
the act of coming to land after a voyage,hypernym,act,4,['act']
a long tuft of hair left on top of the shaven head,hypernym,hair,15,['hair']
British unit of nonprofessional soldiers organized for the defense of Great Britain,hypernym,unit,8,['unit']
the craft of laying bricks,hypernym,craft,4,['craft']
someone responsible for keeping records,hypernym,someone,0,['someone']
a corporation gaining financial control over another corporation or financial institution through a payment in cash or an exchange of stock,hypernym,financial institution,68,"['financial institution', 'institution']"
United States psychologist considered the founder of behavioristic psychology (1878-1958),hypernym,psychologist,14,['psychologist']
a stringed instrument that has a triangular body and three strings,hypernym,stringed instrument,2,"['stringed instrument', 'instrument']"
a line that bisects a plane figure,hypernym,line,2,['line']
a draft payable on presentation,hypernym,draft,2,['draft']
a native or inhabitant of Sardinia,hypernym,inhabitant,12,['inhabitant']
a person disposed to take a favorable view of things,hypernym,person,2,['person']
military staff stationed at headquarters,hypernym,staff,9,"['staff', 'headquarters']"
(sports) the spin given to a ball by striking it on one side or releasing it with a sharp twist,hypernym,spin,13,['spin']
a speech disorder involving hesitations and involuntary repetitions of certain sounds,hypernym,speech disorder,2,"['speech disorder', 'disorder']"
orange color or pigment; any of a range of colors between red and yellow,hypernym,color,7,"['color', 'colors']"
a card certifying membership in a labor union,hypernym,card,2,['card']
the airforce of the United States of America; the agency that defends the United States through control and exploitation of air and space,hypernym,agency,50,['agency']
the friendship characteristic of blood brothers,hypernym,friendship,4,['friendship']
the fourth stage of the prophase of meiosis,hypernym,stage,11,"['stage', 'prophase', 'meiosis']"
the administrative center of the Faroe Islands,hypernym,Faroe Islands,33,"['Faroe Islands', 'Islands']"
the evasion of work or duty,hypernym,evasion,4,['evasion']
a machine that cuts the heads off grain and moves them into a wagon,hypernym,machine,2,['machine']
a broadly based stock market index,hypernym,stock market index,16,"['stock market index', 'index']"
an acknowledgment that can be used to say hello or goodbye (aloha is Hawaiian and ciao is Italian),hypernym,acknowledgment,3,['acknowledgment']
an administrative unit of local government,hypernym,administrative unit,3,"['administrative unit', 'unit']"
a military officer responsible for investigations,hypernym,military officer,2,"['military officer', 'officer']"
light carried by a boat that indicates the boat's direction; vessels at night carry a red light on the port bow and a green light on the starboard bow,hypernym,light,0,['light']
terrestrial burrowing nocturnal frog of grassy terrain and scrub forests having very hard upper surface of head; of the United States southwest,hypernym,frog,32,['frog']
a unit strength of a radioactive source equal to one million disintegrations per second,hypernym,unit,2,['unit']
a coarse annual panic grass; a cosmopolitan weed; occasionally used for hay or grazing,hypernym,grass,22,['grass']
a layer in a soil profile,hypernym,profile,18,"['profile', 'layer']"
a device for amplifying or transmitting sound,hypernym,device,2,['device']
a small tropical cephalopod of the genus Spirula having prominent eyes and short arms and a many-chambered shell coiled in a flat spiral,hypernym,cephalopod,17,['cephalopod']
a nonfunctional replica of something else (frequently used as a modifier),hypernym,replica,16,['replica']
the fare charged for riding a subway train,hypernym,fare,4,['fare']
the forestay that braces the mainmast,hypernym,forestay,4,"['forestay', 'braces']"
the sport of traveling on a bicycle or motorcycle,hypernym,sport,4,['sport']
the floor of an automobile,hypernym,floor,4,"['floor', 'automobile']"
someone who makes copies illegally,hypernym,someone,0,['someone']
the fashionable elite,hypernym,elite,16,['elite']
the shedding of blood resulting in murder,hypernym,murder,35,['murder']
(Greek mythology) the Muse of history,hypernym,Muse,22,['Muse']
a theory of organic evolution claiming that acquired characteristics are transmitted to offspring,hypernym,theory of organic evolution,2,"['theory of organic evolution', 'theory']"
a small nub (especially an undeveloped fruit or ear of corn),hypernym,nub,8,['nub']
the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction,hypernym,environment,44,"['environment', 'city']"
the event consisting of the start of something,hypernym,event,4,['event']
(architecture) a gable having corbie-steps or corbel steps,hypernym,gable,17,['gable']
(baseball) a substitute for the regular batter,hypernym,batter,40,"['batter', 'substitute']"
a part of a ship's company organized for special duties ashore,hypernym,company,19,['company']
inappropriate conduct,hypernym,conduct,14,['conduct']
a mirror; usually a ladies' dressing mirror,hypernym,mirror,2,['mirror']
a twisting force,hypernym,force,11,['force']
a physical phenomenon associated with the equilibrium or motion of objects,hypernym,physical phenomenon,2,"['physical phenomenon', 'phenomenon']"
someone acting as an informer or decoy for the police,hypernym,informer,21,"['informer', 'someone']"
an indelicate joke,hypernym,joke,14,['joke']
a cotton fabric imitating flannel,hypernym,fabric,9,['fabric']
any owl that has a screeching cry,hypernym,owl,4,['owl']
United States parapsychologist (1895-1980),hypernym,parapsychologist,14,['parapsychologist']
a module designed to be inserted into a larger piece of equipment,hypernym,module,2,['module']
the door of a car,hypernym,door,4,"['door', 'car']"
the person who holds the secretaryship of the Department of State,hypernym,person,4,['person']
a fund reserved to pay workers' pensions when they retire from service,hypernym,fund,2,['fund']
a group of dead languages of ancient Italy; they were displace by Latin,hypernym,languages,16,['languages']
fine imposed by a library on books that overdue when returned,hypernym,fine,0,['fine']
someone who speaks in a childish way,hypernym,someone,0,['someone']
a submerged (or partly submerged) ridge in a river or along a shore,hypernym,ridge,34,['ridge']
beta blocker (trade name Lopressor) used in treating hypertension and angina and arrhythmia and acute myocardial infarction; has adverse side effects (depression and exacerbation of congestive heart failure etc.),hypernym,beta blocker,0,"['beta blocker', 'blocker']"
a candy that is flavored with a mint oil,hypernym,candy,2,['candy']
singing with three or more voice parts,hypernym,singing,0,['singing']
an upright consisting of a piece of timber or metal fixed firmly in an upright position,hypernym,upright,3,['upright']
a town on Lake Superior on the Upper Peninsula in northwest Michigan,hypernym,Michigan,60,"['Michigan', 'town']"
any of numerous plants of the genus Begonia grown for their attractive glossy asymmetrical leaves and colorful flowers in usually terminal cymes or racemes,hypernym,flowers,111,"['flowers', 'plants']"
someone who skates on a skateboard,hypernym,someone,0,['someone']
a picturesque mountainous province of western Austria and northern Italy,hypernym,Austria,46,"['Austria', 'Italy', 'province']"
any important early teacher of Christianity or a Christian missionary to a people,hypernym,Christian,49,['Christian']
wind blowing opposite to the path of a ship or aircraft,hypernym,wind,0,['wind']
scale of the kind that covers the bodies of fish,hypernym,scale,0,"['scale', 'fish', 'covers']"
a town in southeast Ohio,hypernym,Ohio,20,"['Ohio', 'town']"
the quality of being safe,hypernym,quality,4,['quality']
birth control by the use of devices (diaphragm or intrauterine device or condom) or drugs or surgery,hypernym,birth control,0,['birth control']
(computing) a system that enforces boundaries between computer networks,hypernym,system,14,['system']
Mexican black cherry tree having edible fruit,hypernym,cherry,14,"['cherry', 'cherry tree', 'tree']"
the right of a belligerent to stop neutral ships on the high seas in wartime and search them,hypernym,right,4,['right']
a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956,hypernym,Africa,27,['Africa']
English clergyman and metaphysical poet celebrated as a preacher (1572-1631),hypernym,clergyman,8,"['clergyman', 'poet']"
an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure,hypernym,partition,17,"['partition', 'structure', 'area']"
a Jew who is of Spanish or Portuguese or North African descent,hypernym,Jew,2,['Jew']
the state capital of Western Australia,hypernym,Western Australia,21,"['Western Australia', 'state capital', 'Australia', 'capital', 'state']"
the curve of y=sin x,hypernym,curve,4,['curve']
staying power,hypernym,staying power,0,['staying power']
a directory containing an alphabetical list of telephone subscribers and their telephone numbers,hypernym,directory,2,['directory']
any of several crested Old World birds with a slender downward-curved bill,hypernym,birds,33,['birds']
an incident (real or imaginary),hypernym,incident,3,['incident']
a bomb that explodes at a preset depth under water; antisubmarine device,hypernym,bomb,2,"['bomb', 'device']"
type genus of the Felidae: true cats and most wildcats,hypernym,genus,5,['genus']
a large hare of northern North America; it is almost completely white in winter,hypernym,hare,8,['hare']
the middle part of July,hypernym,July,19,['July']
an adherent of totalitarian principles or totalitarian government,hypernym,adherent,3,['adherent']
Mediterranean orchid having usually purple flowers with a fan-shaped spotted or striped rose-red lip,hypernym,orchid,14,"['orchid', 'flowers']"
a person who acts as parent and guardian for a child in place of the child's natural parents but without legally adopting the child,hypernym,guardian,32,"['guardian', 'person']"
sessile mossy aquatic animal having the anus of the polyp outside the crown of tentacles,hypernym,animal,22,['animal']
rapidly growing deciduous tree of low mountainsides of China and Japan; grown as an ornamental for its dark blue-green candy-scented foliage that becomes yellow to scarlet in autumn,hypernym,tree,26,['tree']
someone who arranges (or tries to arrange) marriages for others,hypernym,someone,0,['someone']
large usually hairy metallic blue or green fly; lays eggs in carrion or dung or wounds,hypernym,fly,43,['fly']
a tart apple jelly made from crab apples,hypernym,apple jelly,7,"['apple jelly', 'jelly']"
edible marine gastropod,hypernym,gastropod,14,['gastropod']
equipment in a motor vehicle or aircraft that delivers fuel to the engine,hypernym,equipment,0,"['equipment', 'aircraft', 'motor vehicle', 'vehicle']"
a mass of cytoplasm containing several nuclei and enclosed in a membrane but no internal cell boundaries (as in muscle fibers),hypernym,cytoplasm,10,['cytoplasm']
large game fish in the Pacific Ocean; may reach 1000 pounds,hypernym,fish,11,['fish']
material consisting of the aggregate of minerals like those making up the Earth's crust,hypernym,material,0,['material']
cooking slowly in fat in a closed pot with little moisture,hypernym,cooking,0,['cooking']
a coupler shaped like the letter U with holes through each end so a bolt or pin can pass through the holes to complete the coupling; used to attach a drawbar to a plow or wagon or trailer etc.,hypernym,coupler,2,"['coupler', 'coupling']"
United States writer (born in 1942),hypernym,writer,14,['writer']
an interface (commonly used for modems and mice and some printers) that transmits data a bit at a time,hypernym,interface,3,['interface']
workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded,hypernym,workplace,0,['workplace']
the bubbling sound of water flowing from a bottle with a narrow neck,hypernym,sound,13,['sound']
"a small fruit having any of various structures, e.g., simple (grape or blueberry) or aggregate (blackberry or raspberry)",hypernym,fruit,8,['fruit']
any of various dark-fruited as distinguished from blue-fruited blueberries,hypernym,blueberries,63,['blueberries']
(cards) the act of throwing out a useless card or of failing to follow suit,hypernym,cards,1,"['cards', 'act']"
a castle in northeastern Scotland that is a private residence of the British sovereign,hypernym,Scotland,25,"['Scotland', 'castle']"
Old World nocturnal canine mammal closely related to the dog; smaller than a wolf; sometimes hunts in a pack but usually singly or as a member of a pair,hypernym,canine,20,"['canine', 'mammal']"
a contract in which you promise to deliver your entire output to the other party who promises to accept it,hypernym,contract,2,['contract']
one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,hypernym,periods,19,"['periods', 'year']"
a lever that is operated with the foot,hypernym,lever,2,['lever']
a freeware browser for Linux,hypernym,browser,11,['browser']
a grouping of a number of similar things,hypernym,grouping,2,['grouping']
a mild form of diabetes mellitus in which there are no overt symptoms but there are abnormal responses to some diagnostic procedures,hypernym,diabetes mellitus,15,"['diabetes mellitus', 'diabetes']"
material used to make packages,hypernym,material,0,['material']
a mansard roof with sides that are nearly perpendicular,hypernym,mansard,2,"['mansard', 'mansard roof', 'roof']"
a ring of arteries at the base of the brain,hypernym,arteries,10,"['arteries', 'brain']"
a group of languages in northern Africa related to Semitic,hypernym,languages,11,['languages']
the direction in which a compass needle points,hypernym,direction,4,['direction']
the constant maximum velocity reached by a body falling through the atmosphere under the attraction of gravity,hypernym,velocity,21,['velocity']
any of various mostly Australian attractively shaped shrubs of the genus Olearia grown for their handsome and sometimes fragrant evergreen foliage and profusion of daisy flowers with white or purple or blue rays,hypernym,shrubs,53,['shrubs']
the meaning of a word or expression; the way in which a word or expression or situation can be interpreted,hypernym,meaning,4,['meaning']
the ratio between the size of something and a representation of it,hypernym,ratio,4,['ratio']
an eleven-sided polygon,hypernym,polygon,16,['polygon']
Latin used for liturgical purposes during the Middle Ages,hypernym,Latin,0,['Latin']
type genus of Peripatidae; onychophorans of chiefly New World tropical regions,hypernym,genus,5,['genus']
the leader of a group of people,hypernym,leader,4,['leader']
an emblem of peace,hypernym,emblem,3,['emblem']
fruit dessert made of oranges and bananas with shredded coconut,hypernym,dessert,6,['dessert']
similar to and often marketed as `red snapper',hypernym,snapper,38,['snapper']
a worker employed to apply spots (as markers or identifiers),hypernym,worker,2,['worker']
people who lived in times long past (especially during the historical period before the fall of the Roman Empire in western Europe),hypernym,people,0,['people']
a long-acting barbiturate used as a sedative,hypernym,barbiturate,14,"['barbiturate', 'sedative']"
nut with a square shape,hypernym,nut,0,['nut']
a subject mentioned earlier (preceding in time),hypernym,subject,2,['subject']
a city in the northern panhandle of Texas,hypernym,Texas,36,"['Texas', 'city']"
someone who ornaments with needlework,hypernym,someone,0,['someone']
a self-service laundry (service mark Laundromat) where coin-operated washing machines are available to individual customers,hypernym,laundry,15,['laundry']
a racetrack paved with fine cinders,hypernym,racetrack,2,['racetrack']
primitive winged insect with a flattened body; used as bait by fishermen; aquatic gilled larvae are carnivorous and live beneath stones,hypernym,insect,17,['insect']
club that promotes and supports yachting and boating,hypernym,club,0,['club']
an international organization based in Geneva that monitors and enforces rules governing global trade,hypernym,international organization,3,"['international organization', 'organization']"
pollen of the ragweed plant is a common allergen,hypernym,allergen,40,"['allergen', 'pollen', 'plant']"
tropical plant having thick hairy somewhat toothed leaves and solitary or clustered yellow to scarlet flowers; many cultivated for their flowers and ornamental foliage,hypernym,plant,9,['plant']
a gambler who loses a bet,hypernym,gambler,2,['gambler']
the act of cutting into an edge with toothlike notches or angular incisions,hypernym,act,4,['act']
any of several large freshwater leeches,hypernym,leeches,32,['leeches']
(Old Testament) an ancient city near the Dead Sea that (along with Sodom) was destroyed by God for the vice and depravity of its inhabitants,hypernym,city,27,['city']
a prostitute who attracts customers by walking the streets,hypernym,prostitute,2,['prostitute']
a book with blank pages for recording notes or memoranda,hypernym,book,2,['book']
the suture between the occipital and parietal bones,hypernym,suture,4,"['suture', 'bones']"
any of various deciduous terrestrial orchids having fleshy tubers and flowers in erect terminal racemes,hypernym,orchids,37,"['orchids', 'flowers']"
a square scarf that is folded into a triangle and worn over the head or about the neck,hypernym,scarf,9,['scarf']
tropical American timber tree with dark hard heavy wood and small plumlike purple fruit,hypernym,tree,25,['tree']
a contestant (human or animal) not considered to have a good chance to win,hypernym,contestant,2,['contestant']
a British imperial capacity unit (liquid or dry) equal to 5 fluid ounces or 142.066 cubic centimeters,hypernym,imperial capacity unit,10,"['imperial capacity unit', 'capacity unit', 'unit']"
a lever used by a pilot to control the ailerons and elevators of an airplane,hypernym,lever,2,['lever']
any stratum or layer lying underneath another,hypernym,stratum,4,"['stratum', 'layer']"
an optical device for viewing stereoscopic photographs,hypernym,optical device,3,"['optical device', 'device']"
United States violinist (born in Austria) (1875-1962),hypernym,violinist,14,['violinist']
an implement that has hairs or bristles firmly set into a handle,hypernym,implement,3,['implement']
a breach that does not destroy the value of the contract but can give rise to a claim for damages,hypernym,breach,2,['breach']
a rectangular quarter pound block of butter or margarine,hypernym,butter,37,"['butter', 'margarine']"
an alloy of copper and zinc,hypernym,alloy,3,['alloy']
a permanent magnet consisting of magnetite that possess polarity and has the power to attract as well as to be attracted magnetically,hypernym,permanent magnet,2,"['permanent magnet', 'magnet']"
"an enzyme that catalyzes the oxidation of many body compounds (e.g., epinephrine and norepinephrine and serotonin)",hypernym,enzyme,3,"['enzyme', 'compounds']"
a variety of water strider,hypernym,water strider,13,['water strider']
son of Henry V who as an infant succeeded his father and was King of England from 1422 to 1461; he was taken prisoner in 1460 and Edward IV was proclaimed king; he was rescued and regained the throne in 1470 but was recaptured and murdered in the Tower of London (1421-1471),hypernym,King of England,61,"['King of England', 'King', 'king']"
hardware that provides better performance than an earlier version did,hypernym,hardware,0,['hardware']
a form of dancing in which dancers slam into one another; normally performed to punk rock,hypernym,dancing,10,['dancing']
a feared paramilitary unit formed in 1995 by young soldiers to serve Saddam Hussein against domestic opponents,hypernym,paramilitary,9,"['paramilitary', 'paramilitary unit']"
the exclusive social set of a city,hypernym,set,21,['set']
the front of a shirt (usually the part not covered by a jacket),hypernym,front,4,"['front', 'shirt']"
genus of tropical American shrubby trees and woody climbers having slender branches with broad flat leaves and large panicles of flowers,hypernym,genus,0,['genus']
strong durable timber of a douglas fir,hypernym,fir,35,['fir']
shunt that is created surgically between the portal vein and the inferior vena cava so that blood from the abdominal organs can bypass the liver,hypernym,shunt,0,['shunt']
a former major political party in the United States in the early 19th century; opposed the old Federalist party; favored a strict interpretation of the constitution in order to limit the powers of the federal government,hypernym,political party,15,"['political party', 'party']"
ancient king of Pontus who expanded his kingdom by defeating the Romans but was later driven out by Pompey (132-63 BC),hypernym,king,8,['king']
the act of enlisting (as in a military service),hypernym,act,4,['act']
increase by a factor of two,hypernym,increase,0,['increase']
the recovery of useful substances from waste products,hypernym,recovery,4,['recovery']
a low plain adjacent to a river that is formed chiefly of river sediment and is subject to flooding,hypernym,plain,6,['plain']
United States jazz composer and piano player and bandleader (1899-1974),hypernym,player,38,['player']
low shrubby plant having yellow flowers with four petals arranged in a cross; Bermuda and southeastern United States to West Indies and eastern Mexico,hypernym,plant,12,['plant']
the cardinal number that is the sum of twenty and one,hypernym,number,13,['number']
an undomesticated duck (especially a mallard),hypernym,duck,18,['duck']
unfriendly behavior that causes anger or resentment,hypernym,behavior,11,['behavior']
a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled,hypernym,loop,2,"['loop', 'rope']"
the official currency issued by a government or national bank,hypernym,currency,13,['currency']
an oil that hardens in air due to oxidation and is often used as a paint or varnish base,hypernym,oil,3,['oil']
a city in northern West Virginia on the Monongahela river near the Pennsylvania border; site of the University of West Virginia,hypernym,West Virginia,19,"['West Virginia', 'city', 'West']"
an imagined memory of a childhood experience; hides another memory of distressing significance,hypernym,memory,12,['memory']
in some classifications replaced by the orders (here suborders) Blattodea (cockroaches) and Manteodea (mantids); in former classifications often subsumed under a much broader order Orthoptera,hypernym,orders,40,"['orders', 'order']"
any heavy material used to stabilize a ship or airship,hypernym,material,10,['material']
a family of fungi or order Sclerodermatales with a single-layered peridium; includes earthballs,hypernym,family,2,['family']
a person in charge of paying wages,hypernym,person,2,['person']
small genus of tropical American (mainly Central America) cacti,hypernym,genus,6,['genus']
bleeding into the interior chamber of the eye,hypernym,bleeding,0,['bleeding']
United States mathematician who contributed to the development of atom bombs and of stored-program digital computers (1903-1957),hypernym,mathematician,14,['mathematician']
(particle physics) a theory that postulates that subatomic particles are one-dimensional strings,hypernym,theory,21,['theory']
a native or inhabitant of Argentina,hypernym,inhabitant,12,['inhabitant']
forward edge of an airfoil,hypernym,edge,8,"['edge', 'airfoil']"
the craft of making fireworks,hypernym,craft,4,['craft']
the owner or manager of an inn,hypernym,owner,4,['owner']
the shape of a raised edge of a more or less circular object,hypernym,edge,22,"['edge', 'shape']"
large genus of ornamental flowering plants; includes some plants often placed in the genus Coleus,hypernym,genus,6,['genus']
a sharpshooter (in the French army),hypernym,sharpshooter,2,['sharpshooter']
a nonsteroidal anti-inflammatory drug (trade name Tolectin),hypernym,nonsteroidal anti-inflammatory,2,"['nonsteroidal anti-inflammatory', 'nonsteroidal anti-inflammatory drug', 'anti-inflammatory', 'anti-inflammatory drug', 'drug']"
the deposition of a substance on an electrode by the action of electricity (especially by electrolysis),hypernym,deposition,4,['deposition']
something that recommends (or expresses commendation of) a person or thing as worthy or desirable,hypernym,commendation,40,['commendation']
the quality of being made of wax or covered with wax,hypernym,quality,4,['quality']
a play or film whose action and dialogue is interspersed with singing and dancing,hypernym,film,10,"['film', 'play']"
(biology) study of the general principles of scientific classification,hypernym,study,10,['study']
"a former British unit of length once used in navigation; equivalent to 6,000 feet (1828.8 meters)",hypernym,unit,17,['unit']
any of several trailing blackberry brambles especially of North America,hypernym,blackberry,24,"['blackberry', 'brambles']"
the accurate adjustment of the line of sight of a telescope,hypernym,adjustment,13,['adjustment']
ingenuousness by virtue of being free from artful deceit,hypernym,ingenuousness,0,['ingenuousness']
a boat serving as a picket,hypernym,picket,20,['picket']
an abstract genre of art; artistic content depends on internal form rather than pictorial representation,hypernym,genre,12,"['genre', 'art']"
one of a series of small ridges produced in sand by water currents or by wind,hypernym,ridges,25,['ridges']
a group of soldiers on fatigue duty,hypernym,group,2,['group']
a young quahog,hypernym,quahog,8,['quahog']
a command of the United States Air Force that is responsible for defending the United States through its space and intercontinental ballistic missile operations,hypernym,command,2,"['command', 'United States Air Force', 'Air Force', 'Force']"
a person who poses for a photographer or painter or sculptor,hypernym,person,2,['person']
remorse caused by feeling responsible for some offense,hypernym,remorse,0,"['remorse', 'feeling']"
Italian pope from 1198 to 1216 who instituted the Fourth Crusade and under whom papal intervention in European politics reached its height (1161-1216),hypernym,pope,8,['pope']
the act of clearing yourself (or another) from some stigma or charge,hypernym,clearing,11,"['clearing', 'act']"
a native or inhabitant of Andorra,hypernym,inhabitant,12,['inhabitant']
the case expressing ownership,hypernym,case,4,['case']
genus of dry wood termites; cosmopolitan in distribution; sometimes considered a subgenus of Kalotermes,hypernym,genus,0,['genus']
gear for a horse,hypernym,gear,0,['gear']
the placenta and fetal membranes that are expelled from the uterus after the baby is born,hypernym,placenta,4,"['placenta', 'uterus']"
great Italian architect of the High Renaissance in Italy (1444-1514),hypernym,architect,14,['architect']
the formation of small pits in a surface as a consequence of corrosion,hypernym,corrosion,61,['corrosion']
the code of laws of the Salian Franks and other German tribes,hypernym,code,4,['code']
a pillow that is often put across a bed underneath the regular pillows,hypernym,pillow,2,"['pillow', 'pillows']"
a ticket good for a ride on a bus,hypernym,ticket,2,['ticket']
a drill that is used to shape or enlarge holes,hypernym,drill,2,['drill']
equal parts of espresso and hot milk topped with cinnamon and nutmeg and usually whipped cream,hypernym,parts,6,['parts']
a port on the Atlantic and the largest city of Morocco,hypernym,Morocco,47,"['Morocco', 'city', 'port']"
the basic unit of money in Hungary,hypernym,unit,10,['unit']
a person who loves someone or is loved by someone,hypernym,person,2,"['person', 'someone']"
Austrian architect and pioneer of modern architecture (1841-1918),hypernym,architect,9,['architect']
French soldier said to be fearless and chivalrous (1473-1524),hypernym,soldier,7,['soldier']
the destructive distillation of coal (as in coke ovens),hypernym,destructive distillation,4,['destructive distillation']
the basic unit of money on Malta; equal to 100 cents,hypernym,unit,10,['unit']
metal plate bolted along sides of two rails or beams,hypernym,plate,6,['plate']
a unit of information equal to 1024 pebibytes or 2^60 bytes,hypernym,unit,2,['unit']
a glass flue surrounding the wick of an oil lamp,hypernym,flue,8,"['flue', 'oil lamp', 'lamp']"
a native or inhabitant of Cyprus,hypernym,inhabitant,12,['inhabitant']
a fore-and-aft sail extended by a sprit,hypernym,fore-and-aft sail,2,"['fore-and-aft sail', 'sail']"
introduction during embryonic development of characters or structure not present in the earlier evolutionary history of the strain or species (such as the addition of the placenta in mammalian evolution),hypernym,development,30,['development']
a brass bushing or a lining for a bearing,hypernym,brass,2,['brass']
a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States,hypernym,sandwich,8,['sandwich']
the property of giving off bubbles,hypernym,property,4,['property']
(law) a judicial remedy issued in order to prohibit a party from doing or continuing to do a certain activity,hypernym,order,34,['order']
favorite of the gods and grandfather of Gilgamish; survived the great flood and became immortal,hypernym,gods,16,"['gods', 'immortal']"
a cord that is pulled to open a parachute from its pack during a descent,hypernym,cord,2,"['cord', 'parachute']"
the lowest part in polyphonic music,hypernym,part,11,"['part', 'music']"
the driver's seat on a coach,hypernym,seat,13,"['seat', 'coach']"
white grape grown especially in the valley the Loire in France,hypernym,grape,6,['grape']
a mixture of nectar and pollen prepared by worker bees and fed to larvae,hypernym,mixture,2,['mixture']
meat from a domestic hog or pig,hypernym,meat,0,"['meat', 'hog', 'pig']"
a river in Palestine that empties into the Dead Sea; John the Baptist baptized Jesus in the Jordan,hypernym,Palestine,11,"['Palestine', 'river']"
genus of edible fungi: morel,hypernym,genus,0,['genus']
Italian pope from 1566 to 1572 who led the reformation of the Roman Catholic Church; he excommunicated Elizabeth I (1504-1572),hypernym,pope,8,"['pope', 'Catholic']"
wine containing not more than 14 percent alcohol usually served with a meal,hypernym,wine,0,"['wine', 'alcohol']"
a United States military decoration awarded to any member of the armed forces who is wounded in action,hypernym,decoration,25,['decoration']
an industrial plant where chemicals are produced,hypernym,industrial plant,3,"['industrial plant', 'plant']"
a form of foot torture used by the Chinese in which the victim's foot was placed between three pieces of bamboo and systematically squeezed,hypernym,torture,15,['torture']
(physics and chemistry) the smallest component of an element having the chemical properties of the element,hypernym,element,53,"['element', 'component']"
a geological process that causes a bend in a stratum of rock,hypernym,geological process,2,"['geological process', 'process']"
the performance of a part or role in a drama,hypernym,performance,4,['performance']
an autumn festival that involves merrymaking and drinking beer,hypernym,festival,10,['festival']
whole young pig suitable for roasting,hypernym,pig,12,['pig']
"United States confectioner and philanthropist who created the model industrial town of Hershey, Pennsylvania; founded an industrial school for orphan boys (1857-1945)",hypernym,confectioner,14,"['confectioner', 'philanthropist']"
United States aviator who (with Richard E. Byrd) piloted the first flight over the North Pole (1890-1928),hypernym,aviator,14,['aviator']
the branch of geology that studies the characteristics and configuration and evolution of rocks and land forms,hypernym,geology,14,"['geology', 'studies']"
banking: a time draft drawn on and accepted by a bank,hypernym,draft,16,['draft']
any of several short-billed Old World rails,hypernym,rails,38,['rails']
(Yiddish) a crazy fool,hypernym,fool,18,['fool']
